andromeda;and
antlia;ant
apus;aps
aquarius;aqr
aquila;aql
ara;ara
aries;ari
auriga;aur
bootes;boo
caelum;cae
camelopardalis;cam
cancer;cnc
canesvenatici;cvn
canismajor;cma
canisminor;cmi
capricornus;cap
carina;car
cassiopeia;cas
centaurus;cen
cepheus;cep
cetus;cet
chamaeleon;cha
circinus;cir
columba;col
comaberenices;com
coronaaustralis;cra
coronaborealis;crb
corvus;crv
crater;crt
crux;cru
cygnus;cyg
delphinus;del
dorado;dor
draco;dra
equuleus;equ
eridanus;eri
fornax;for
gemini;gem
grus;gru
hercules;her
horologium;hor
hydra;hya
hydrus;hyi
indus;ind
lacerta;lac
leo;leo
leominor;lmi
lepus;lep
libra;lib
lupus;lup
lynx;lyn
lyra;lyr
mensa;men
microscopium;mic
monoceros;mon
musca;mus
norma;nor
octans;oct
ophiuchus;oph
orion;ori
pavo;pav
pegasus;peg
perseus;per
phoenix;phe
pictor;pic
pisces;psc
piscisaustrinus;psa
puppis;pup
pyxis;pyx
reticulum;ret
sagitta;sge
sagittarius;sgr
scorpius;sco
sculptor;scl
scutum;sct
serpens;ser
sextans;sex
taurus;tau
telescopium;tel
triangulum;tri
triangulumaustrale;tra
tucana;tuc
ursamajor;uma
ursaminor;umi
vela;vel
virgo;vir
volans;vol
vulpecula;vul
