Acamar;θ1 Eri
Achernar;α Eri
Achird;η Cas
Acrab;β1 Sco
Acrux;α Cru
Acubens;α Cnc
Adhafera;ζ Leo
Adhara;ε CMa
Adhil;ξ And
Ain;ε Tau
Ainalrami;ν01 Sgr
Aladfar;η Lyr
Albaldah;π Sgr
Albali;ε Aqr
Albireo;β1 Cyg
Alchiba;α Crv
Alcor;80 UMa
Alcyone;η Tau
Aldebaran;α Tau
Alderamin;α Cep
Aldhanab;γ Gru
Aldhibah;ζ Dra
Aldulfin;ε Del
Alfirk;β Cep
Algedi;α2 Cap
Algenib;γ Peg
Algieba;γ1 Leo
Algol;β Per
Algorab;δ Crv
Alhena;γ Gem
Alioth;ε UMa
Aljanah;ε Cyg
Alkaid;η UMa
Alkalurops;μ1 Boo
Alkaphrah;κ UMa
Alkarab;υ Peg
Alkes;α Crt
Almaaz;ε Aur
Almach;γ And
Alnair;α Gru
Alnasl;γ Sgr
Alnilam;ε Ori
Alnitak;ζ Ori
Alniyat;σ Sco
Alphard;α Hya
Alphecca;α CrB
Alpheratz;α And
Alpherg;η Psc
Alrakis;μ Dra
Alrescha;α Psc
Alruba;Dra
Alsafi;σ Dra
Alsciaukat;31 Lyn
Alsephina;δ Vel
Alshain;β Aql
Alshat;ν Cap
Altair;α Aql
Altais;δ Dra
Alterf;λ Leo
Aludra;η CMa
Alula Australis;ξ UMa
Alula Borealis;ν UMa
Alya;θ1 Ser
Alzirr;ξ Gem
Ancha;θ Aqr
Angetenar;τ02 Eri
Ankaa;α Phe
Anser;α Vul
Antares;α Sco
Arcturus;α Boo
Arkab Posterior;β2 Sgr
Arkab Prior;β1 Sgr
Arneb;α Lep
Ascella;ζ Sgr
Asellus Australis;δ Cnc
Asellus Borealis;γ Cnc
Ashlesha;ε Hya
Aspidiske;ι Car
Asterope;21 Tau
Athebyne;η Dra
Atik;ο Per
Atlas;27 Tau
Atria;α Tr
Avior;ε Car
Azelfafage;π1 Cyg
Azha;η Eri
Azmidi;ξ Pup
Barnard's Star;V2500 Oph
Baten Kaitos;ζ Cet
Beemim;υ03 Eri
Beid;ο1 Eri
Bellatrix;γ Ori
Betelgeuse;α Ori
Bharani;41 Ari
Biham;θ Peg
Botein;δ Ari
Brachium;σ Lib
Bunda;ξ Aqr
Canopus;α Car
Capella;α Aur
Caph;β Cas
Castor;α Gem
Castula;υ02 Cas
Cebalrai;β Oph
Celaeno;16 Tau
Cervantes;μ Ara
Chalawan;47 UMa
Chamukuy;θ02 Tau
Chara;β CVn
Chertan;θ Leo
Copernicus;55 Cnc
Cor Caroli;α2 CVn
Cujam;ω Her
Cursa;β Eri
Dabih;β1 Cap
Dalim;α For
Deneb;α Cyg
Deneb Algedi;δ Cap
Denebola;β Leo
Diadem;α Com
Diphda;β Cet
Dschubba;δ Sco
Dubhe;α UMa
Dziban;ψ01 Dra
Edasich;ι Dra
Electra;17 Tau
Elgafar;ϕ Vir
Elkurud;θ Col
Elnath;β Tau
Eltanin;γ Dra
Enif;ε Peg
Errai;γ Cep
Fafnir;42 Dra
Fang;π Sco
Fawaris;δ Cyg
Felis;Hya
Fomalhaut;α PsA
Fulu;ζ Cas
Fumalsamakah;β Psc
Furud;ζ CMa
Fuyue;Sco
Gacrux;γ Cru
Giausar;λ Dra
Gienah;γ Crv
Ginan;ε Cru
Gomeisa;β CMi
Grumium;ξ Dra
Gudja;κ Ser
Guniibuu;36 Oph
Hadar;β Cen
Haedus;η Aur
Hamal;α Ari
Hassaleh;ι Aur
Hatysa;ι Ori
Helvetios;51 Peg
Heze;ζ Vir
Homam;ζ Peg
Iklil;ρ Sco
Imai;δ Cru
Intercrus;UMa
Izar;ε Boo
Jabbah;ν Sco
Jishui;ο Gem
Kaffaljidhma;γ Cet
Kang;κ Vir
Kaus Australis;ε Sgr
Kaus Borealis;λ Sgr
Kaus Media;δ Sgr
Keid;ο2 Eri
Khambalia;λ Vir
Kitalpha;α Equ
Kochab;β UMi
Kornephoros;β Her
Kraz;β Crv
Kurhah;ξ Cep
La Superba;Y CVn
Larawag;ε Sco
Lesath;υ Sco
Libertas;ξ Aql
Lich;Vir
Lilii Borea;39 Ari
Maasym;λ Her
Mahasim;θ Aur
Maia;20 Tau
Marfik;λ Oph
Markab;α Peg
Markeb;κ Vel
Marsic;κ Her
Matar;η Peg
Mebsuta;ε Gem
Megrez;δ UMa
Meissa;λ Ori
Mekbuda;ζ Gem
Meleph;ε Cnc
Menkalinan;β Aur
Menkar;α Cet
Menkent;θ Cen
Menkib;ξ Per
Merak;β UMa
Merga;38 Boo
Meridiana;α CrA
Merope;23 Tau
Mesarthim;γ1 Ari
Miaplacidus;β Car
Mimosa;β Cru
Minchir;σ Hya
Minelauva;δ Vir
Mintaka;δ Ori
Mira;ο Cet
Mirach;β And
Miram;η Per
Mirfak;α Per
Mirzam;β CMa
Misam;κ Per
Mizar;ζ UMa
Mothallah;α Tri
Muliphein;γ CMa
Muphrid;η Boo
Muscida;ο UMa
Musica;18 Del
Nahn;ξ Cnc
Naos;ζ Pup
Nashira;γ Cap
Nekkar;β Boo
Nembus;51 And
Nihal;β Lep
Nunki;σ Sgr
Nusakan;β CrB
Ogma;Her
Okab;ζ Aql
Paikauhale;τ Sco
Peacock;α Pav
Phact;α Col
Phecda;γ UMa
Pherkad;γ UMi
Piautos;λ Cnc
Pipirima;μ02 Sco
Pleione;28 Tau
Polaris;α UMi
