acamar;θ1 eri
achernar;α eri
achird;η cas
acrab;β1 sco
acrux;α cru
acubens;α cnc
adhafera;ζ leo
adhara;ε cma
adhil;ξ and
ain;ε tau
ainalrami;ν01 sgr
aladfar;η lyr
albaldah;π sgr
albali;ε aqr
albireo;β1 cyg
alchiba;α crv
alcor;80 uma
alcyone;η tau
aldebaran;α tau
alderamin;α cep
aldhanab;γ gru
aldhibah;ζ dra
aldulfin;ε del
alfirk;β cep
algedi;α2 cap
algenib;γ peg
algieba;γ1 leo
algol;β per
algorab;δ crv
alhena;γ gem
alioth;ε uma
aljanah;ε cyg
alkaid;η uma
alkalurops;μ1 boo
alkaphrah;κ uma
alkarab;υ peg
alkes;α crt
almaaz;ε aur
almach;γ and
alnair;α gru
alnasl;γ sgr
alnilam;ε ori
alnitak;ζ ori
alniyat;σ sco
alphard;α hya
alphecca;α crb
alpheratz;α and
alpherg;η psc
alrakis;μ dra
alrescha;α psc
alruba;dra
alsafi;σ dra
alsciaukat;31 lyn
alsephina;δ vel
alshain;β aql
alshat;ν cap
altair;α aql
altais;δ dra
alterf;λ leo
aludra;η cma
alula australis;ξ uma
alula borealis;ν uma
alya;θ1 ser
alzirr;ξ gem
ancha;θ aqr
angetenar;τ02 eri
ankaa;α phe
anser;α vul
antares;α sco
arcturus;α boo
arkab posterior;β2 sgr
arkab prior;β1 sgr
arneb;α lep
ascella;ζ sgr
asellus australis;δ cnc
asellus borealis;γ cnc
ashlesha;ε hya
aspidiske;ι car
asterope;21 tau
athebyne;η dra
atik;ο per
atlas;27 tau
atria;α tr
avior;ε car
azelfafage;π1 cyg
azha;η eri
azmidi;ξ pup
barnard's star;v2500 oph
baten kaitos;ζ cet
beemim;υ03 eri
beid;ο1 eri
bellatrix;γ ori
betelgeuse;α ori
bharani;41 ari
biham;θ peg
botein;δ ari
brachium;σ lib
bunda;ξ aqr
canopus;α car
capella;α aur
caph;β cas
castor;α gem
castula;υ02 cas
cebalrai;β oph
celaeno;16 tau
cervantes;μ ara
chalawan;47 uma
chamukuy;θ02 tau
chara;β cvn
chertan;θ leo
copernicus;55 cnc
cor caroli;α2 cvn
cujam;ω her
cursa;β eri
dabih;β1 cap
dalim;α for
deneb;α cyg
deneb algedi;δ cap
denebola;β leo
diadem;α com
diphda;β cet
dschubba;δ sco
dubhe;α uma
dziban;ψ01 dra
edasich;ι dra
electra;17 tau
elgafar;ϕ vir
elkurud;θ col
elnath;β tau
eltanin;γ dra
enif;ε peg
errai;γ cep
fafnir;42 dra
fang;π sco
fawaris;δ cyg
felis;hya
fomalhaut;α psa
fulu;ζ cas
fumalsamakah;β psc
furud;ζ cma
fuyue;sco
gacrux;γ cru
giausar;λ dra
gienah;γ crv
ginan;ε cru
gomeisa;β cmi
grumium;ξ dra
gudja;κ ser
guniibuu;36 oph
hadar;β cen
haedus;η aur
hamal;α ari
hassaleh;ι aur
hatysa;ι ori
helvetios;51 peg
heze;ζ vir
homam;ζ peg
iklil;ρ sco
imai;δ cru
intercrus;uma
izar;ε boo
jabbah;ν sco
jishui;ο gem
kaffaljidhma;γ cet
kang;κ vir
kaus australis;ε sgr
kaus borealis;λ sgr
kaus media;δ sgr
keid;ο2 eri
khambalia;λ vir
kitalpha;α equ
kochab;β umi
kornephoros;β her
kraz;β crv
kurhah;ξ cep
la superba;y cvn
larawag;ε sco
lesath;υ sco
libertas;ξ aql
lich;vir
lilii borea;39 ari
maasym;λ her
mahasim;θ aur
maia;20 tau
marfik;λ oph
markab;α peg
markeb;κ vel
marsic;κ her
matar;η peg
mebsuta;ε gem
megrez;δ uma
meissa;λ ori
mekbuda;ζ gem
meleph;ε cnc
menkalinan;β aur
menkar;α cet
menkent;θ cen
menkib;ξ per
merak;β uma
merga;38 boo
meridiana;α cra
merope;23 tau
mesarthim;γ1 ari
miaplacidus;β car
mimosa;β cru
minchir;σ hya
minelauva;δ vir
mintaka;δ ori
mira;ο cet
mirach;β and
miram;η per
mirfak;α per
mirzam;β cma
misam;κ per
mizar;ζ uma
mothallah;α tri
muliphein;γ cma
muphrid;η boo
muscida;ο uma
musica;18 del
nahn;ξ cnc
naos;ζ pup
nashira;γ cap
nekkar;β boo
nembus;51 and
nihal;β lep
nunki;σ sgr
nusakan;β crb
ogma;her
okab;ζ aql
paikauhale;τ sco
peacock;α pav
phact;α col
phecda;γ uma
pherkad;γ umi
piautos;λ cnc
pipirima;μ02 sco
pleione;28 tau
polaris;α umi
polaris australis;σ oct
polis;μ sgr
pollux;β gem
porrima;γ vir
praecipua;46 lmi
prima hyadum;γ tau
procyon;α cmi
propus;η gem
proxima centauri;α cen
ran;ε eri
rasalas;μ leo
rasalgethi;α1 her
rasalhague;α oph
rastaban;β dra
regulus;α leo
revati;ζ psc
rigel;β ori
rigil kentaurus;α cen
rotanev;β del
ruchbah;δ cas
rukbat;α sgr
sabik;η oph
saclateni;ζ aur
sadachbia;γ aqr
sadalbari;μ peg
sadalmelik;α aqr
sadalsuud;β aqr
sadr;γ cyg
saiph;κ ori
salm;τ peg
sargas;θ sco
sarin;δ her
sceptrum;53 eri
scheat;β peg
schedar;α cas
secunda hyadum;δ tau
segin;ε cas
seginus;γ boo
sham;α sge
shaula;λ sco
sheliak;β lyr
sheratan;β ari
sirius;α cma
situla;κ aqr
skat;δ aqr
spica;α vir
sualocin;α del
subra;ο leo
suhail;λ vel
sulafat;γ lyr
syrma;ι vir
tabit;π03 ori
